,text,intent_ovr
7629,of unintentional melodrama and tiresome love triangles,review
17570,in half an hour,review
75235,ca n't fake,review
5278,none of the visual wit of the previous pictures,review
1619,aware of his own coolness,review
37359,up walking out not only satisfied,review
51722,frothy ` date movie ' ...,review
67614,that never lets up,review
50772,grave for youngsters,review
80758,it 's not nearly long enough,review
19594,was a dark and stormy night,review
22520,to ever get a hold on,review
82152,is so insanely dysfunctional,review
11767,the nearly 80-minute running time,review
46697,"millennial brusqueness and undying , traditional politesse",review
60091,feel as the credits roll,review
29171,being noticeably derivative,review
30995,to the level of the direction,review
40013,"with a slow , deliberate gait",review
10490,that have become a Spielberg trademark,review
7808,the substance it so desperately needs,review
60488,The metaphors are provocative,review
16987,"Truth or Consequences , N.M. '",review
62153,"Fessenden has nurtured his metaphors at the expense of his narrative ,",review
19957,trivializes the movie with too many nervous gags and,review
69576,The Komediant is a tale worth catching .,review
11797,a bad sign,review
54934,watch Marker the essayist at work,review
46444,"was long , intricate , star-studded and visually flashy",review
47281,that was inexplicably rushed to the megaplexes before its time,review
28267,that perfectly illustrates the picture 's moral schizophrenia,review
61147,to spoof both black and white stereotypes equally,review
23713,for grown-ups as for rugrats,review
37706,as a compliment,review
33814,"It 's a loathsome movie , it really is",review
62272,the central story,review
35532,a breath of fresh air,review
57115,written in years,review
83916,paced parable of renewal,review
15507,was ushered in by The Full Monty,review
15982,So bland and,review
77424,the wake of Saving Private Ryan,review
85690,goes down easy,review
39841,"of warmth , colour and cringe",review
2178,it 's this rich and luscious,review
29244,The off-center humor,review
20060,debuts by an esteemed writer-actor .,review
7315,this little $ 1.8 million charmer,review
80247,"will keep you watching , as will the fight scenes .",review
4847,The moral shrapnel and mental shellshock,review
10915,denuded urban living,review
39419,to make it entertaining,review
35836,a treatise on spirituality as well as,review
77674,hugely entertaining and uplifting,review
17048,to watch middle-age,review
66591,out of Eudora Welty,review
55622,they have seen a comedy,review
31287,"move beyond a good , dry , reliable textbook",review
66969,a strong message about never giving up on a loved one,review
62262,leave a large dog alone with a toddler,review
38718,run-of-the-filth gangster flicks,review
68210,it thumbs down due to the endlessly repetitive scenes of embarrassment,review
76036,very lively dream,review
11058,"Family portrait of need , neurosis and nervy",review
68335,The acting is fine but,review
84477,who 's ever suffered under a martinet music instructor,review
72992,depictions of a love affair,review
43766,"It 's not particularly well made , but",review
12536,on subtle ironies and visual devices,review
29738,to create a feature film that is wickedly fun to watch,review
51899,"born , or made",review
55338,I 've ever seen .,review
81364,the screenplay falls somewhat short,review
52689,of weird performances and direction,review
25443,Ryan Gosling -LRB- Murder By Numbers -RRB-,review
31371,"this film , like the similarly ill-timed Antitrust ,",review
48671,pushing the envelope,review
69659,check out the last 10 minutes,review
76803,one of the all-time great apocalypse movies,review
23324,Dahmer 's two hours,review
23678,"this simple , sweet and romantic comedy",review
3905,Broder 's screenplay,review
48035,together with a supremely kittenish performance that gradually accumulates more layers,review
83413,two supporting performances,review
11282,that really tells the tale,review
50069,the monster 's path of destruction,review
84263,Has its moments --,review
55565,Splendidly illustrates the ability of the human spirit to overcome adversity .,review
32529,make Mel Brooks ' Borscht Belt schtick look sophisticated .,review
71904,a more graceful way of portraying the devastation of this disease,review
36130,What You Did Last Winter,review
36513,how to make our imagination,review
52218,Lopez 's publicist,review
41856,can no longer,review
12197,you have n't seen the film lately,review
47913,The Son 's Room,review
57997,The Powerpuff Girls Movie,review
31788,"the character dramas ,",review
63500,to NYC inner-city youth,review
9406,of pleasure or sensuality,review
2314,loads of money,review
17063,all excited about a chocolate eclair,review
29826,the murder of Matthew Shepard,review
57377,", especially Sorvino",review
54279,the obligatory moments of sentimental ooze,review
73126,the other characters,review
46246,possible for computer-generated characters,review
81612,a Mobius strip,review
80746,"looked like crap ,",review
50542,be the most undeserving victim of critical overkill since Town and Country,review
78202,Director George Hickenlooper has had some success with documentaries,review
46074,the final two,review
35060,so-called ` comedy ',review
69874,seems fried in pork,review
74145,", while watching Eric Rohmer 's tribute",review
47127,The director and,review
2920,to review on DVD,review
6510,"of action , cheese , ham and cheek",review
43156,what is basically an anti-Harry Potter,review
28379,on a subject few,review
56025,by the wireless,review
38729,without a map,review
56480,TV-cops comedy Showtime,review
61357,development and coherence,review
64099,are short and often unexpected .,review
69716,"originality , humour and pathos",review
49297,what makes Wilco a big deal,review
20813,"charming , thought-provoking New York fest",review
69855,as a young boy,review
32904,took the Farrelly Brothers comedy and,review
24256,bluff personal style,review
79041,"is on full , irritating display",review
38359,do that much,review
53634,get a few punches,review
30529,the manner of a Golden Book sprung to life,review
21589,as there are for children and dog lovers,review
82199,Upsetting and thought-provoking,review
59678,without relying on animation or dumb humor,review
68317,especially considering its barely,review
47672,North or South Vietnamese,review
56549,look at a red felt Sharpie pen,review
75815,of his passe ' chopsocky glory,review
47074,the old boy 's,review
73215,leafing through an album of photos,review
66493,"is degraded , handheld Blair Witch video-cam footage .",review
57034,"A pleasing , often-funny comedy",review
56937,does a disservice to the audience and to the genre .,review
36057,as an earthy Napoleon,review
50795,by its own solemnity,review
35293,Adroit but finally,review
28648,Mordantly funny and,review
41758,This fascinating experiment,review
21836,pull it back,review
19900,is sentimental but,review
6233,combined with a tinge of understanding for her actions,review
9789,does n't give a damn,review
58323,cope with the mysterious and brutal nature of adults,review
14621,an hour and twenty-some minutes,review
58438,It 's not too fast and not too slow .,review
50452,have banged their brains into the ground so frequently,review
4200,though stymied by accents thick as mud .,review
56519,throughout as he swaggers through his scenes,review
54955,Two bodies and hardly a laugh between them,review
18934,the film to be more than that,review
20602,breach gaps in their relationships with their fathers,review
52957,", you still have to see this !",review
17643,its last frames,review
23856,who does a convincing impersonation here of a director enjoying himself immensely,review
74486,still emerges as his most vital work since GoodFellas .,review
20037,neither light nor magical enough to bring off this kind of whimsy,review
49201,some terrific setpieces,review
19295,old World War,review
149,that try too hard to be mythic,review
57480,a party worth attending,review
42245,rent this on video,review
8900,The sword fighting is well done,review
30268,will warm your heart,review
75421,of another couple of,review
58094,release your pent up anger,review
56497,college-spawned -LRB- Colgate U. -RRB- comedy ensemble,review
40364,11 times too many or else,review
23002,"A poorly scripted , preachy fable",review
38072,as its central character,review
53679,does n't work .,review
74056,'s nothing to gain from watching They .,review
69194,even gritty enough,review
47573,pursuing his castle,review
7051,made literature literal without killing its soul,review
74144,"mind , while watching Eric Rohmer 's tribute",review
9894,to remarkable performances,review
72969,to be as naturally charming as it needs to be,review
73440,Less a heartfelt appeal for the handicapped than a nice Belgian waffle,review
54652,"... a solid , unassuming drama .",review
81737,from the pack,review
85863,a few others,review
34714,was a freshman fluke,review
66169,pushing the jokes,review
75326,Though there are many tense scenes in Trapped,review
30466,an oddly fascinating depiction of an architect of pop culture,review
1600,start to drag as soon as the action speeds up,review
68999,we no longer possess the lack-of-attention span that we did at seventeen,review
46027,his martial artistry,review
72909,an invaluable record,review
78762,conveying its social message,review
23912,they 're struggling to create .,review
59878,its compassionate spirit,review
24167,"yet , it must be admitted ,",review
46321,"of a deep-seated , emotional need",review
18558,"uncompromising , difficult and unbearably beautiful",review
14878,a terrific performance in this fascinating portrait of a modern Lothario,review
82704,"Anne Geddes ,",review
65470,intriguing and realistic,review
20825,neither is it the Kahlo movie Frida fans have been looking for,review
61345,with scenes and vistas and pretty moments,review
73505,You Can Count On Me,review
84304,combines enough disparate types of films,review
20810,would have made,review
67484,find their humor-seeking dollars,review
63947,the only good thing,review
200,"indie of the year , so far",review
57244,the entire effort,review
78583,A breathtaking adventure,review
217,the publishing world,review
72968,contrived to be as naturally charming as it needs to be,review
4552,the man and,review
49868,a cinematic fluidity and sense,review
41436,an admirable reconstruction of terrible events,review
72206,"what truth can be discerned from non-firsthand experience , and specifically",review
73329,seesawed back and forth,review
55312,of the rollicking dark humor so necessary,review
75122,"as other rowdy raunch-fests -- farts , boobs , unmentionables --",review
145,", better judgment",review
13969,nails Sy 's queasy infatuation and overall strangeness .,review
55724,its makers are n't removed and inquisitive enough for that,review
54529,Whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama,review
41549,"It 's coherent , well shot , and tartly acted",review
1716,of exotic creatures,review
24562,by director Michael Apted and writer Tom Stoppard,review
54697,"can gasp , shudder and even tremble without losing his machismo",review
42041,so often a,review
51126,sort of a minimalist Beauty and the Beast,review
27556,"too much to do , too little time to do it in",review
79154,boy puppet Pinocchio,review
7465,the dead -LRB- water -RRB- weight,review
4031,"to feel-good , follow-your-dream Hollywood fantasies",review
67695,sitting around in their drawers to justify a film,review
75234,you ca n't fake,review
29335,funny -LRB- sometimes hilarious -RRB-,review
14259,that encompasses many more paths than we started with,review
31607,", crowd-pleasing goals",review
35045,than its title,review
75040,a full-length classic,review
79138,benefit enormously from the Cockettes ' camera craziness -- not,review
25682,the social ladder,review
72579,to culture shock and a refusal,review
76629,a catalyst for the struggle of black manhood,review
38103,for unexpectedly giddy viewing,review
34641,does seem pretty unbelievable at times,review
55093,see strange young guys doing strange guy things,review
26722,bogs down in genre cliches here,review
30278,"uncanny , inevitable and seemingly shrewd facade",review
17138,suitably anonymous chiller,review
65018,disguised as a feature film,review
27254,to transcend its clever concept,review
49362,The events of the film,review
29699,'s none of the happily-ever,review
71556,'s equally hard,review
2267,transcends the boy-meets-girl posturing of typical love stories,review
39139,Denis ' -RRB-,review
28809,capitalizes on this concept and opts,review
79988,relatively slow to come to the point,review
81285,the final third of the film,review
59587,A baffling subplot,review
18819,you could shake a stick at,review
76277,previous concert comedy film,review
56875,'s about a family of sour immortals,review
58840,prefer a simple misfire,review
55427,stiletto-stomps the life,review
14679,been born to make,review
51585,take you down a familiar road with a few twists,review
48271,plain wacky implausibility,review
5492,to make the most of its own ironic implications,review
12474,a heavy stench,review
9169,", music and metaphor",review
43309,evolved from human impulses that grew hideously twisted,review
3,demonstrating the adage,review
47243,the attention process,review
23695,care to count,review
3695,taking John Carpenter 's Ghosts of Mars,review
35535,a skillful filmmaker,review
15887,do n't dismiss BarberShop out of hand,review
65975,give a movie a B-12 shot,review
19624,such high-profile talent serve such literate material,review
81567,punctuated by flying guts,review
85940,"Downbeat , period-perfect biopic hammers home a heavy-handed moralistic message",review
37741,that will make you laugh,review
56761,"is truly funny ,",review
2201,"trusted audiences to understand a complex story , and",review
9455,Gorgeous to look at but insufferably tedious and turgid,review
64741,very insecure man,review
4003,does n't always go hand in hand with talent,review
58495,"messy and frustrating ,",review
58512,absolute raving Star Wars junkie,review
48223,both people 's capacity for evil,review
64917,wit and interesting characters,review
83599,had a lot of problems with this movie .,review
31549,in swoony music and fever-pitched melodrama,review
33049,a stumblebum of a movie,review
85538,that is n't entirely infantile,review
33096,a pair of spy kids,review
73289,Juan Jose Campanella,review
38312,only is entry number twenty the worst of the Brosnan bunch,review
17466,out of you,review
10314,like a tired Tyco ad,review
71187,the viewer wide-awake all the way through,review
18554,Bill Morrison 's Decasia,review
49647,", Applegate , Blair and Posey",review
62430,and complete lack,review
33270,through heavy traffic,review
84162,Is anyone else,review
11760,This slender plot,review
13690,", very far",review
26728,"thoughtful , reverent",review
21849,libertine and agitator,review
41463,ill at ease sharing the same scene,review
15927,dramatic animated feature,review
56060,'s sort of in-between,review
68571,self-hatred and self-determination,review
66616,defeats the possibility of creating a more darkly edged tome,review
5858,by his pretensions,review
84003,"speculative history , as much",review
66782,has been there squirm with recognition,review
1675,wears out its welcome as tryingly as the title character,review
39357,in postmodern pastiche winds,review
51295,relegated to the background -- a welcome step,review
60979,"a flat , unconvincing drama",review
28863,for a movie as you can imagine,review
34059,more unmentionable subjects,review
76829,needed to grow into a movie career,review
70943,I have a new favorite musical --,review
66848,has done excellent work here,review
79382,off-beat and fanciful,review
42434,to feel nostalgia for movies you grew up with,review
20707,that held my interest precisely because it did n't try to,review
15263,hilarious place to visit,review
18407,she and writing partner Laurence Coriat,review
77723,you think about the movie,review
58684,intrepid in exploring an attraction that crosses sexual identity,review
31171,with somber earnestness in the new adaptation of The Cherry Orchard,review
65848,The Good Girl '' a film worth watching,review
70210,'m guessing the director is a magician .,review
1533,gives her best,review
54038,is presented with great sympathy and intelligence,review
11322,sleep or bewildered by the artsy and often pointless visuals,review
32141,that the talented cast generally,review
48426,"The movie straddles the fence between escapism and social commentary , and",review
28547,the journey feel like a party,review
70176,of its two main characters,review
71520,conjures a Lynch-like vision of the rotting underbelly of Middle America,review
75300,"mad queens , obsessive relationships ,",review
50119,may or may not have shot Kennedy,review
58612,A movie you observe,review
49350,all the eroticism of a good vampire tale,review
24668,that underlies the best of comedies,review
24663,lost some of the dramatic conviction that underlies the best of comedies,review
70116,hard for me,review
82690,this you 're not interested in discretion in your entertainment choices,review
4432,away a believer again and quite cheered at just that,review
11253,break through the wall,review
75382,of you-are-there immediacy,review
19777,Taylor 's cartoonish performance and the film 's ill-considered notion,review
35455,advertised as a comedy,review
34783,that sends you out of the theater feeling,review
42327,do well to cram earplugs in their ears and,review
15486,a half mark,review
37372,at odds with the rest of the film,review
53260,the scope and shape,review
27912,may mistake Love Liza for an Adam Sandler Chanukah song .,review
14312,it 's a dish that 's best served cold,review
78285,the efforts of a first-rate cast,review
8957,about `` Gangs '',review
59117,perfectly serviceable and,review
4330,extremely unconventional things,review
42892,the sensibilities of two directors,review
66159,This kiddie-oriented stinker,review
40389,The story line,review
83447,of woman warriors,review
23426,that tells you there is no sense,review
34233,was as graceful as a tap-dancing rhino,review
24328,kill Michael Myers for good,review
23193,lovely toward the end,review
42410,The modern remake of Dumas 's story,review
56295,Saturday Night Live-style parody,review
6405,gives us a reason to care about them,review
7653,The large-frame IMAX camera,review
84354,instead of showing them,review
10261,had long since vanished,review
45897,pitched to the cadence of a depressed fifteen-year-old 's suicidal poetry,review
12868,"see `` Simone , ''",review
15430,the remarkable ensemble cast,review
22881,because you 're one of the lucky few who sought it out,review
26592,", the movie stirs us as well .",review
12348,profound ethical and philosophical questions in the form of dazzling pop entertainment,review
42816,", emotional , Rocky-like",review
22698,"Try this obscenely bad dark comedy , so crass",review
82894,watching a rerun,review
68983,you wanting more answers as the credits,review
48045,has performed a difficult task indeed,review
18233,"loss , discontent , and yearning",review
8896,a purpose and,review
44156,Straightforward and old-fashioned in the best possible senses of both those words,review
42272,"without being forceful , sad without being shrill",review
68854,depicts this relationship,review
82074,Mr. Caine and Mr. Fraser,review
11567,for its stylistic austerity and forcefulness,review
77327,"well made , but does n't generate a lot of tension .",review
73194,", graceless , hackneyed",review
84613,like it or,review
62695,the transcendent performance,review
21823,deserve a passing grade -LRB- even on a curve -RRB-,review
43770,particularly well made,review
80517,clearly evident quality,review
80737,", giggly little story",review
23924,to take us on his sentimental journey of the heart,review
66332,of Margaret Thatcher 's ruinous legacy,review
31317,who live in the crowded cities and refugee camps of Gaza,review
24413,the folly of changing taste and attitude,review
20526,nearly every corner,review
47398,the most offensive action,review
16563,"loud , brash and mainly unfunny",review
80283,unusual but pleasantly,review
34135,banal as the telling,review
49443,it more than adequately fills the eyes and stirs the emotions,review
15590,I ca n't say it 's on par with the first one,review
10054,ensures the film never feels draggy .,review
25077,make an important film,review
39060,his family-film plot,review
32564,", and affecting",review
56826,a risky venture,review
45298,Malcolm McDowell is cool .,review
79373,about the state of the music business in the 21st Century,review
70626,credible and remarkably mature,review
44423,live happily ever after,review
45324,have better luck next time,review
13198,still feels like a prison stretch .,review
15581,is gratefully received,review
73089,"There 's a lot of good material here , but",review
76210,no unforgettably stupid stunts or uproariously,review
17208,be a boy truly in love with a girl,review
74983,on its own preciousness,review
33611,approach to the workplace romantic comedy .,review
65700,"ecological , pro-wildlife sentiments",review
28616,with all the films,review
2158,of staring into an open wound,review
306,Nothing more than a run-of-the-mill action flick .,review
79641,another man 's garbage,review
39272,the crazy things that keep people going in this crazy life,review
82066,the dreary mid-section of the film,review
34394,its effective moments,review
38865,a teenage boy,review
81163,"work -- is charming ,",review
75575,the joie de,review
20664,is left slightly unfulfilled,review
16793,romp that 's always fun to watch,review
24204,talking head documentary,review
47142,"Road to Perdition does display greatness , and it 's worth seeing",review
51343,Nijinsky 's diaries,review
56409,by the returning David S. Goyer,review
51596,"with longer exposition sequences between them ,",review
10546,on spousal abuse,review
41115,expeditious 84 minutes,review
54486,take centre screen,review
72415,this terrific film,review
79529,with splendid singing,review
11879,front and center,review
5619,for very little,review
5501,sets this romantic comedy,review
65278,are of the highest and the performances,review
37516,with passion and energy,review
5093,is its make-believe promise of life that soars above the material realm,review
64508,never moves beyond their surfaces,review
62016,classic cinema served up with heart and humor,review
30831,barn-burningly bad movie,review
83444,set the cause of woman warriors back decades,review
49777,to forgive because the intentions are lofty,review
65351,as funny nor as charming as it thinks it is,review
76610,enough to read the subtitles,review
44347,before from Murphy,review
29767,in the name of High Art,review
1019,Tsai may be ploughing the same furrow once too often .,review
82063,trump card being the dreary mid-section of the film,review
82354,souls and risk and schemes and,review
30868,so much first-rate,review
38210,typical Toback machinations,review
85783,sound to the typical Pax,review
23342,"funny , sometimes inspiring ,",review
66783,been there squirm with recognition,review
35841,his character awakens,review
85906,an astonishing voice cast,review
19569,"a choppy , surface-effect feeling to the whole enterprise",review
81630,is just fine,review
31278,Nothing wrong with performances here,review
29527,"enriched by an imaginatively mixed cast of antic spirits ,",review
72548,it might have held my attention,review
44099,", overmanipulative Hollywood practices",review
67046,a sweet smile and,review
56611,the pulsating thick,review
22915,although not in a way anyone,review
68538,he 's spiffing up leftovers that are n't so substantial or fresh,review
33959,portrays their cartoon counterparts well ... but,review
13042,"that works even without vulgarity , sex scenes , and cussing",review
71999,'s all pretty tame,review
64410,Blade II has a brilliant director and charismatic star,review
58106,will amuse or entertain them,review
18393,try hard but come off too amateurish and awkward,review
78459,"dumb , sweet , and intermittently hilarious",review
46771,audiences on both sides of the Atlantic love him,review
21399,jumps around with little logic or continuity,review
19862,only one movie 's worth,review
18058,is little else to recommend `` Never Again .,review
62795,flows as naturally as Jolie 's hideous yellow ` do .,review
85118,to help a Jewish friend,review
76138,find plenty to shake and shiver about in ` The Ring,review
56414,is much sillier,review
68871,introverted young men with fantasy fetishes,review
79945,is fixated on the spectacle of small-town competition,review
549,the interesting developments,review
35625,that the material is so second-rate .,review
82188,raise audience 's spirits,review
8124,is a trove of delights .,review
58572,"Robin Williams , Death to Smoochy",review
7496,the negative and,review
28680,", the jokes are typical Sandler fare ,",review
57951,the Farrelly Brothers,review
14869,the film 's end,review
57618,'s geared toward an audience full of masters of both,review
5768,are so integrated with the story,review
40659,", more inadvertent ones and stunningly trite",review
52241,with the rich,review
46420,is it a romantic comedy,review
58463,want to love it,review
2818,Too much of Storytelling,review
4440,feel sanitised and stagey .,review
40247,the start --,review
80072,movies starring pop queens,review
51789,that breathes extraordinary life into the private existence of the Inuit people,review
22963,Catherine Breillat 's Fat Girl,review
19369,charm and charisma,review
10434,be so flabby,review
44515,as with The Shipping News before it,review
11917,often hilarious romantic jealousy comedy,review
49111,is a must for genre fans .,review
34523,goes on and on and on and on,review
44209,any generation of its fans,review
27285,movie that is no more than mildly amusing,review
81848,The movie does n't generate a lot of energy .,review
77316,playful and haunting,review
70693,'s nothing remotely topical or sexy here .,review
16227,"gentle , touching story",review
57229,That Storytelling has value can not be denied .,review
65346,a nearly terminal case,review
8541,injects freshness and spirit,review
35892,"to the wit , humor and snappy dialogue of the original",review
34396,is n't really one of resources,review
47395,profane and exploitative as the most offensive action,review
24244,completely serviceable and,review
64393,feeble Tootsie knockoff .,review
67708,"plan at scripting , shooting or post-production stages .",review
26507,Watching Queen of the Damned,review
9286,"cell phones ,",review
52807,was actually one correct interpretation,review
71035,"is funny , not actually exploiting it yourself",review
56278,about critical reaction,review
27452,"win the band a few new converts , too",review
67515,repellantly out of control,review
68500,doubt an artist of uncompromising vision,review
14656,at the door,review
48299,a thriller 's rush,review
20153,the best advice,review
72695,it 's the very definition of epic adventure .,review
74205,"terror by suggestion , rather than",review
8180,"Sand 's masculine persona , with its love of life and beauty",review
50227,become strangely impersonal and abstract,review
77492,"The film is small in scope , yet perfectly formed .",review
56022,be truly informed by the wireless,review
34957,also appears to be the end,review
44726,and spiritual people,review
23831,among a multitude of simple-minded,review
5964,older and wiser,review
58100,the ticket you need,review
33094,the careers of a pair of spy kids,review
36687,the frank humanity of ... emotional recovery,review
49894,cynical and serious,review
75179,the food is enticing,review
76491,that Bean abhors,review
21920,give you a few laughs,review
33334,bloody and mean,review
46900,", and intelligence",review
5009,its occasional charms are not to be dismissed .,review
1709,any creature-feature fan,review
16795,'s always fun to watch,review
10166,in a hoary love triangle,review
1120,visually masterful work,review
72774,mob music drama,review
49122,hide the liberal use of a body double,review
42024,"a cheap , ludicrous attempt",review
61255,", she should ask for a raise",review
9098,Unfolds as one of the most politically audacious films of recent decades,review
27850,treacly films about inspirational prep-school professors and,review
33519,the atmospheric weirdness,review
24888,has a childlike quality about it,review
39209,with fondness and respect,review
9892,swallow thanks to remarkable performances,review
42520,by sparking debate and encouraging thought,review
20682,that never pretends to be something,review
36293,how much good,review
69346,Manages to accomplish what few sequels can --,review
20931,bad animation and,review
25633,it is effective,review
57932,in the face of life 's harshness,review
61679,its heart in the right place,review
8205,the affable Maid,review
80731,what happened in 1915 Armenia,review
46102,do the girls ' amusing personalities,review
77486,A finely tuned mood,review
69467,what to whom,review
1157,Lawrence 's over-indulgent tirade,review
16940,the numerous scenes,review
15503,in middle-of-the-road blandness,review
20208,after all these years,review
51520,of the modern male,review
22997,seems suited neither to kids or adults .,review
30380,a cruel story,review
10830,is even worse than I imagined a movie ever could be,review
25094,without stooping to gooeyness,review
6675,greasy little vidgame pit,review
40633,the indifference of Spanish social workers,review
51688,some so-so slapstick,review
61698,bring Kissinger 's record,review
15760,quite makes it to the boiling point,review
46460,in three words : Thumbs Friggin ' Down,review
36792,is a small gem,review
66474,Real Women Have Curves does n't offer any easy answers .,review
9852,the titular character 's,review
51700,by Howard 's self-conscious attempts,review
82363,as John Ritter 's glory days,review
8761,"he might have been tempted to change his landmark poem to ,",review
13302,relies on personal relationships,review
69645,in an irresistible junior-high way,review
53146,positively Shakesperean by comparison,review
26646,`` big twists '',review
22121,spend with these people,review
25416,oft-brilliant Safe Conduct -LRB- `` Laissez-passer '' -RRB-,review
36933,photographed and beautifully recorded .,review
25977,this cross-cultural soap opera,review
6261,an insultingly inept and artificial examination of grief and,review
68225,"an underachiever ,",review
12908,"falters in its recycled aspects , implausibility , and sags in pace",review
18006,much to absorb and,review
55029,"of what -LRB- Evans -RRB- had , lost , and got back",review
61478,of perfect black pearls clicking together to form a string,review
4810,a biblical message,review
5210,multi-layered and profoundly,review
66000,you have left,review
34369,"is funny , insightfully human and a delightful lark for history buffs",review
65631,is hindered by uneven dialogue and plot lapses .,review
13440,does rescue -LRB- the Funk Brothers -RRB- from Motown 's shadows,review
60037,salute writer-director Haneke,review
65131,been forced by his kids to watch too many Barney videos,review
84805,about any aspect of it,review
62641,for this genre,review
12837,"an American ,",review
70203,the thin veneer of nationalism,review
7952,the layered richness,review
77015,as art is concerned,review
29239,like a student film,review
45049,grew up on televised Scooby-Doo shows or reruns,review
50079,will most likely,review
45336,Especially compared with the television series that inspired the movie,review
22066,have been crisper and punchier,review
22824,via Kirsten Dunst 's remarkable performance,review
826,usually come up with on their own,review
9364,this natural grain,review
47491,in that sense is a movie that deserves recommendation,review
387,to the phrase ` fatal script error,review
71989,"the very root of his contradictory , self-hating , self-destructive ways",review
11746,his personal horrors,review
51328,"a welcome , if downbeat , missive from a forgotten front",review
30346,"of lines , the impressive stagings of hardware",review
49577,will find millions of eager fans .,review
50489,wasted in it,review
39425,to tell their kids how not to act like Pinocchio,review
28188,in its committed dumbness,review
78414,"quirky , odd movies and\/or the ironic",review
47840,their mixed-up relationship,review
59060,found writer-director Mitch Davis 's wall of kitsch hard going,review
44075,ca n't rescue Adrian Lyne 's Unfaithful from its sleazy moralizing .,review
84557,realize they ca n't get no satisfaction without the latter,review
42076,in this film that allowed it to get made,review
30562,but quietly effective retelling,review
14895,especially the a \*\* holes,review
22954,who says he has to ?,review
61327,"his beautiful , self-satisfied 22-year-old girlfriend and",review
11477,'re all in this together,review
66406,own meager weight,review
74229,take the latter every time,review
68893,sets out with no pretensions,review
57587,as its origins in an Anne Rice novel dictate,review
61555,"sinuously plotted and , somehow ,",review
35903,"of this , and more",review
65129,"ugly , mean-spirited lashing",review
22588,put on an intoxicating show,review
39106,about ordinary folk,review
72373,"no rest period , no timeout",review
48616,this is the movie for you,review
20132,the timeless danger of emotions,review
68081,"a buoyant , expressive flow of images",review
40374,the previous movies,review
9939,clever makeup design,review
77251,have that an impressionable kid could n't stand to hear,review
71327,the Philip Glass soundtrack CD,review
37866,"'s the perfect star vehicle for Grant ,",review
73974,A marvelous performance,review
74259,A wildly erratic drama with sequences that make you,review
23541,"a confident , richly acted , emotionally devastating piece",review
65061,are The Greatest Musicians of All Time,review
17777,you barely realize your mind is being blown .,review
28474,1995 's Forget Paris,review
46897,"characterization , poignancy , and intelligence",review
80897,in a bid to hold our attention,review
64778,fit the incredible storyline,review
40607,"is a dark , gritty , sometimes funny little gem .",review
38370,at least a minimal appreciation,review
53941,' the play more has partly closed it down .,review
46187,is simply a well-made and satisfying thriller .,review
33666,that everyone should be themselves --,review
42943,harder and harder,review
53737,convenient plot twists,review
7233,pays earnest homage to turntablists,review
66386,"this nicely wound clock not just ticking , but humming",review
56899,as impervious to a fall,review
83409,be a total loss,review
66428,the Beast and 1930s horror films,review
79418,whole damned thing,review
70749,they live together --,review
34198,must be an audience that enjoys the Friday series,review
75742,anchor the film in a very real and amusing give-and-take,review
49084,the sexual politics too smug,review
64313,with wisdom and emotion,review
26354,fosters moments of spontaneous intimacy,review
73645,It 's supposed to be a romantic comedy,review
40518,such a big job,review
45465,the heart of his story,review
68366,begins haranguing the wife in bad stage dialogue,review
35428,", you 'll like Promises .",review
30342,ruined his career,review
35189,appeal to anything wider than a niche audience,review
6921,in spite of a river of sadness that pours into every frame,review
53267,in madness or love,review
8793,A somewhat disappointing and meandering saga,review
6068,Westbrook 's foundation and Dalrymple 's film,review
66103,"the plot ,",review
5735,Standing in the Shadows of Motown,review
51686,"sporadic bursts of liveliness ,",review
39738,like being trapped at a bad rock concert,review
26851,It 's an ambitious film,review
51073,is a dud,review
169,Like a less dizzily gorgeous companion to Mr.,review
49098,unblinkingly pure as The Hours,review
14347,"wry , winning , if languidly paced ,",review
79902,of Tinseltown 's seasoned veterans,review
50394,"the Alan Warner novel ,",review
18446,mere plot pawn,review
41656,strike a nerve in many,review
57995,it is instructive,review
78550,A bittersweet film,review
22261,Speaks eloquently about the symbiotic relationship between art and life .,review
44913,of a paranoid and unlikable man,review
51007,the man 's head and heart,review
72325,be a huge cut of above the rest,review
6381,-LRB- a nose -RRB-,review
66401,an unprecedented tragedy,review
50562,Woody Allen film,review
40513,to director George Clooney,review
43085,put it on a coffee table anywhere,review
28640,is technically sophisticated in the worst way .,review
38784,A sleep-inducing thriller,review
73365,Bogdanovich taps deep into the Hearst mystique,review
46400,of clever ideas and visual gags,review
44127,Lathan and Diggs,review
33780,opting out of any opportunity for finding meaning in relationships or work,review
61648,the durable best seller Smart Women,review
72437,", humorous , illuminating study",review
3777,do n't need to try very hard,review
81705,of `` Panic Room,review
51813,Alternating between facetious,review
13813,"savvy , compelling",review
27131,benefits from serendipity but,review
84416,sexual and social,review
66475,does n't offer any easy answers .,review
52544,"on an emotional level , funnier ,",review
23387,"is busy contriving false , sitcom-worthy solutions to their problems .",review
25339,"smart , funny look",review
41120,dumped a whole lot of plot,review
4890,drop their pants,review
80212,For something as splendid-looking as this particular film,review
48,"intrigue , betrayal , deceit and murder",review
942,"any Dummies guide ,",review
71965,to Blade II,review
10061,Rare Birds ' tries to force its quirkiness upon the audience .,review
80340,and unrelentingly exploitative,review
